Development period,Premiums,Incurred Claims
3,0.162402394,0.005272302
6,0.283859432,0.033716213
9,0.439692209,0.143483756
12,0.585232447,0.322822776
15,0.724297736,0.420847037
18,0.817950261,0.53613614
21,0.889136854,0.642035878
24,0.954181369,0.75592954
27,0.9803306,0.850679875
30,0.990294856,0.920606839
33,0.999338771,0.960285733
36,1.000292508,0.991070393
39,1.001672129,0.996179624
42,1.001866099,0.9997004
45,1.002917913,1.003685938
48,1.003320726,0.995861361
51,1.002943287,0.984543498
54,1.00131716,0.994185996
57,1,1
58,1,1
59,1,1
60,1,1
